ID,Work Item Type,Parent,Title,Description,Assigned To,State,Tags,Acceptance Criteria,Story Points,Original Estimate,Completed Work
771,Epic,,Volt Cafe Vending Platform,<p>Create a centralized app to order and vend items from multiple vending machines in a single transaction. </p>,,New,,,,,
772,User Story,771.0,View vending machine inventory,"<p>As a user, I want to view available products from all vending machines, so I can select items to purchase. </p>",,New,,"<p>- Products grouped by machine<br>- Names, quantities, and prices clearly displayed<br>- Sold-out items marked visibly </p>",8.0,,
773,Task,772.0,Create inventory database schema,,,New,,,,4.0,
774,Task,772.0,Develop backend API to serve inventory,,,New,,,,8.0,
775,Task,772.0,Build frontend inventory listing (React Native),,,New,,,,8.0,
776,Task,772.0,Implement sold-out indicators in UI,,,New,,,,4.0,
777,User Story,771.0,Select products and add to shopping cart,"<p>As a user, I want to select products from vending machines and add them to a unified cart for single payment. </p>",,New,,<p>- Items appear in unified cart<br>- Cart allows adjustment/removal<br>- Supports multiple machines </p>,8.0,,
778,Task,777.0,Develop cart management logic (frontend),,,New,,,,8.0,
779,Task,777.0,UI for cart interaction (add/remove/edit),,,New,,,,8.0,
780,Task,777.0,Test cart functionality across multiple machines,,,New,,,,4.0,
781,User Story,771.0,Checkout and pay for items,"<p>As a user, I want to pay once for all items in my cart to complete my purchase. </p>",,New,,<p>- Secure Stripe payment integration<br>- Payment success confirmation<br>- Clear error handling </p>,8.0,,
782,Task,781.0,Integrate Stripe payment (backend),,,New,,,,8.0,
783,Task,781.0,Frontend Stripe checkout UI,,,New,,,,8.0,
784,Task,781.0,Handle payment success/error scenarios,,,New,,,,4.0,
785,User Story,771.0,Send vend commands to vending machines,"<p>As the system, I want to send vend commands after successful payment so products are dispensed correctly. </p>",,New,,<p>- Commands sent after payment<br>- Commands match purchased products<br>- Errors clearly logged </p>,8.0,,
786,Task,785.0,Create backend logic for sending vend commands,,,New,,,,8.0,
787,Task,785.0,Develop simulator/mock vending machine API for testing,,,New,,,,6.0,
788,Task,785.0,Implement failure handling logic,,,New,,,,4.0,
789,User Story,771.0,Real-time inventory updates,"<p>As a user, I want real-time inventory updates after vending to view accurate availability. </p>",,New,,<p>- Inventory updated immediately after vend<br>- Accurate without refresh </p>,5.0,,
790,Task,789.0,Implement backend inventory decrement logic,,,New,,,,6.0,
791,Task,789.0,Frontend real-time inventory refresh,,,New,,,,4.0,
792,User Story,771.0,Vending completion notification,"<p>As a user, I want notifications when vending completes to know when to collect items. </p>",,New,,<p>- Notification sent upon vend completion<br>- Clearly lists dispensed items<br>- Clearly notifies vend failures </p>,3.0,,
793,Task,792.0,Backend event trigger for vending completion,,,New,,,,4.0,
794,Task,792.0,Frontend notification display (push/websocket),,,New,,,,6.0,
795,User Story,771.0,Admin dashboard for inventory monitoring,"<p>As an admin, I want real-time inventory and transaction monitoring. </p>",,New,,<p>- Secure login<br>- Real-time inventory and transactions<br>- Web accessible </p>,5.0,,
796,Task,795.0,Create admin login and authentication,,,New,,,,6.0,
797,Task,795.0,Develop admin dashboard UI,,,New,,,,8.0,
798,Task,795.0,API endpoints for dashboard data,,,New,,,,6.0,
